Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Unnamed: 70,Region,IncomeGroup,SpecialNotes,TableName,Unnamed: 5,Improvement,Relative Improvement (%),Access_Score,Improvement_Score,Population_2023,People_Without_Electricity,Population_Score,Priority_Score,GDP_Per_Capita_2023,GDP_Log,GDP_Score,Investment_Opportunity_Score,Rank_Change
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,20.0,26.3,27.4,28.4,29.4,30.5,37.5,38.5,33.8,35.0,34.6,37.3,38.4,32.0,42.0,41.8,42.9,45.3,45.6,47.0,48.2,48.5,51.1,,,,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2025. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Angola,,19.1,59.68750000000001,0.5169133192389006,0.4469026548672567,36749906.0,17970704.033999998,0.20324578265525434,0.3890205855871372,2885.51349130806,7.967458149693049,0.5710575929397457,0.43452983742528933,10.0
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,2.07094931602478,2.5,2.8,3.1,3.4,3.7,3.2,2.7,4.7,4.8,5.4,5.3,6.2,6.5,6.9,7.0,7.9,8.5,9.3,9.5,9.8,9.1,10.2,10.3,11.6,,,,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2025. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Burundi,,4.6,65.71428571428571,0.9344608879492601,0.12610619469026552,13689450.0,12101473.8,0.13686572930641006,0.3991442706486452,249.795164039029,5.520641238172734,0.0,0.29935820298648397,-18.0
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,18.5896263122559,19.578254699707,20.5620422363281,21.5,21.9,23.4,24.3,25.2,26.1,27.9,28.0,29.0,30.0,34.2,36.9,38.4,34.7,34.1,29.6,37.0,34.5,39.0,40.0,41.0,42.0,56.5,57.0,,,,Sub-Saharan Africa,Lower middle income,,Benin,,22.9,67.15542521994135,0.4545454545454545,0.5309734513274337,14111034.0,6067744.620000001,0.06862521924076272,0.3513813750378836,1394.17784721831,7.240060163683709,0.40129166519747955,0.36385894757778264,11.0
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.12501001358032,6.62533283233643,7.1229362487793,7.61713981628418,8.10726451873779,6.9,9.1,9.5,9.9,11.4,10.7,11.1,11.6,12.0,12.5,12.6,13.1,14.8,15.1,15.4,19.2,16.2,16.6,17.0,14.4,17.6,18.5,19.0,19.5,21.7,,,,Sub-Saharan Africa,Low income,,Burkina Faso,,2.5,13.020833333333334,0.8276955602536998,0.07964601769911508,23025776.0,18029182.608,0.2039071659554693,0.37041624796942807,873.198061670247,6.772162404872875,0.2920899645592427,0.3508346771168817,-1.0
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,9.39822673797607,11.6420764923096,13.8845663070679,16.1250171661377,18.3627471923828,20.5970783233643,22.8273296356201,25.0527400970459,26.5,24.8,27.0,33.1,35.3,37.5,39.7,41.9,44.5,43.4,52.0,53.2,56.0,58.0,60.0,62.1,64.2,67.4,68.3,70.1,71.8,73.7,75.9,76.0,,,,Sub-Saharan Africa,Upper middle income,,Botswana,,16.0,26.666666666666668,0.2536997885835095,0.37831858407079655,2480244.0,595258.5599999999,0.006732278917984637,0.2129168838574302,7827.30027960734,8.965372937654006,0.8039588836284216,0.3606773838001781,22.0
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.33491563796997,3.83021020889282,4.32142543792725,4.80779838562012,6.0,5.7,6.1,6.6,7.0,7.4,7.8,8.4,7.5,9.4,9.8,10.4,11.0,11.5,12.0,12.7,13.4,14.1,14.6,14.3,15.4,15.7,15.7,17.6,,,,Sub-Saharan Africa,Low income,,Central African Republic,,5.600000000000001,46.66666666666668,0.8710359408033826,0.14823008849557529,5152421.0,4245594.904,0.04801699796891994,0.3557610090892926,495.978897288721,6.206533380030961,0.16007896369429414,0.306840497740543,-6.0
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,43.6312522888184,44.6482124328613,45.6617698669434,46.6712455749512,48.2,48.7,49.7,51.4,51.5,52.4,58.9,60.2,55.3,60.3,57.3,58.4,55.8,55.8,61.5,61.9,62.6,64.3,65.6,67.1,68.6,69.9,71.1,72.0,72.4,,,,Sub-Saharan Africa,Lower middle income,,Côte d'Ivoire,,10.500000000000007,16.962843295638137,0.2917547568710359,0.25663716814159315,31165654.0,8601720.503999997,0.09728408039604734,0.21522533513622547,2591.9659048119,7.860171903377896,0.5460182754134482,0.2979235702055311,2.0
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,32.6975250244141,33.849193572998,34.9995040893555,36.1477737426758,37.2933235168457,38.435474395752,40.7,40.7067756652832,41.0,46.2,44.0,45.1,47.1,47.2,49.0,48.2,50.6,51.7,52.8,53.7,55.2,56.3,56.8,58.6,59.8,60.9,62.2,63.2,64.3,65.4,71.0,72.0,,,,Sub-Saharan Africa,Lower middle income,,Cameroon,,15.200000000000003,26.7605633802817,0.2959830866807611,0.3606194690265488,28372687.0,7944352.36,0.08984935203665026,0.24881730258132007,1720.47510154506,7.450355753493796,0.4503721226511494,0.29920600759877736,-1.0
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,7.1,7.7,8.3,9.0,6.0,10.2,15.2,11.6,12.3,13.0,13.7,15.4,15.2,13.5,16.6,17.3,18.0,18.7,19.1,20.1,20.8,21.5,22.1,,,,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Congo, Dem. Rep.",,8.600000000000001,63.70370370370372,0.8234672304439746,0.2146017699115045,105789731.0,82410200.449,0.9320461600916596,0.6567050534823795,660.21205238997,6.492561074917365,0.22683438220840144,0.549237385663885,0.0
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,30.3,31.2,32.1,33.0,33.8,34.9,35.8,36.8,37.1,40.0,40.8,41.6,42.5,43.4,44.3,45.3,46.2,47.0,47.7,48.7,49.7,50.6,51.3,,,,Sub-Saharan Africa,Lower middle income,,"Congo, Rep.",,7.899999999999999,18.202764976958523,0.514799154334038,0.19911504424778764,6182885.0,3011064.995,0.03405466254281168,0.24932295370821242,2477.97845544866,7.8151983678206465,0.5355219939628858,0.32087271377188076,2.0
